"ID";"Источник";"Получатель";"Данные";"Связанные угрозы / события"
"F1";"Оператор";"QGroundControl";"Команды оператора";"Недостаточно данных для точного отображения"
"F2";"QGroundControl";"MavlinkGateway";"GCS MAVLink/UDP; COMMAND_LONG; SET_MODE; PARAM_SET; MISSION_*";"command_burst; arm_command_burst; param_write_attempt; mission_write_attempt; serial_control_attempt; gateway_blocked_command"
"F3";"API-клиенты / сценарии воздействия";"MavlinkGateway";"API MAVLink/UDP; COMMAND_LONG; PARAM_SET; MISSION_*";"command_burst; arm_command_burst; param_write_attempt; mission_write_attempt; serial_control_attempt; gateway_blocked_command"
"F4";"MavlinkGateway";"PX4 SITL";"Неблокированные управляющие MAVLink-сообщения от GCS- и API-клиентов";"gateway_blocked_command"
"F5";"Gazebo / модель gz_x500";"PX4 SITL";"Состояние модели и данные датчиков navsat; imu; magnetometer; air_pressure";"position_jump; gps_degraded; health_loss"
"F6";"PX4 SITL";"Gazebo / 4 motor channels";"command/motor_speed";"Недостаточно данных для точного отображения"
"F7";"PX4 SITL";"TelemetryCollector";"flight_mode; armed; position; battery; gps_info; health";"mode_flapping; arm_flapping; position_jump; gps_degraded; health_loss; battery_low"
"F8";"PX4 SITL";"StateGuard";"Параметры PX4; текущая миссия PX4";"px4_param_changed; mission_plan_changed"
"F9";"MavlinkGateway";"QGroundControl";"Перенаправленная MAVLink-телеметрия PX4 по GCS-каналу";"link_idle; link_loss"
"F10";"TelemetryCollector; MavlinkGateway; StateGuard; ThreatDetector; RiskEngine";"AuditLogger / JSONL-журналы";"telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; telemetry events; command events; link metrics; security events; risk assessment";"Недостаточно данных для точного отображения"
