"metric";"value";"source"
"catalog_rows";"547";"docs/threat_coverage_catalog.csv"
"processed_rows";"547";"logs/threat_coverage_all/threat_coverage.jsonl"
"coverage_records";"547";"logs/threat_coverage_all/threat_coverage.jsonl"
"protocol_records";"1735";"logs/threat_coverage_all/protocol_events.jsonl"
"telemetry_records";"611";"logs/threat_coverage_all/telemetry.jsonl"
"security_records_total";"3004";"logs/threat_coverage_all/security_events.jsonl"
"security_event_records";"1502";"logs/threat_coverage_all/security_events.jsonl"
"risk_assessment_records";"1502";"logs/threat_coverage_all/security_events.jsonl"
"profile::companion_control_proxy";"95";"docs/threat_coverage_catalog.csv"
"profile::link_channel_proxy";"31";"docs/threat_coverage_catalog.csv"
"profile::operator_workstation_proxy";"117";"docs/threat_coverage_catalog.csv"
"profile::peripheral_navigation_proxy";"83";"docs/threat_coverage_catalog.csv"
"profile::power_support_proxy";"10";"docs/threat_coverage_catalog.csv"
"profile::server_monitoring_proxy";"102";"docs/threat_coverage_catalog.csv"
"profile::storage_integrity_proxy";"109";"docs/threat_coverage_catalog.csv"
"coverage_mode::proxy_emulation";"359";"docs/threat_coverage_catalog.csv"
"coverage_mode::proxy_emulation_with_component_gap";"188";"docs/threat_coverage_catalog.csv"
"detector_rule::arm_command_burst";"212";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::battery_low";"93";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::command_burst";"212";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::gateway_blocked_command";"31";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::gps_degraded";"83";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::health_loss";"83";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::link_idle";"31";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::link_loss";"31";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::mission_plan_changed";"109";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::mission_write_attempt";"204";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::param_write_attempt";"197";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::position_jump";"83";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::px4_param_changed";"102";"logs/threat_coverage_all/security_events.jsonl"
"detector_rule::serial_shell_access_attempt";"31";"logs/threat_coverage_all/security_events.jsonl"
